Asset/Collateral,Pool Address,TVL,Borrowed,Supply APR,Available,Borrow APR
USDC.e/WAVAX,0xea103255F79e1A801B3D60Be10282cF4CF18a317,"$6,365 ",$29.00 ,-,"$6,336 ",0.25%
WAVAX/WBTC,0x0d94A1B1Feb81F0f57DcB1974fA9Ad74494C20cd,$455.00 ,$23.00 ,0.01%,$432.00 ,0.25%
MIM/WAVAX,0x3aA5780CD912CD600fE4f2c4Ea8d4DfEb16579d1,$222.00 ,$0.00 ,-,$222.00 ,0.25%
SUSHI/WAVAX,0xd3BAF39Da02C2d20c43BE49Bc870DF0cb14FD397,$57.00 ,$19.00 ,0.08%,$38.00 ,0.25%
WAVAX/USDT.e,0x026Ea65eD519c7e48dE14374506B2439AE4F7Ff3,$53.00 ,$3.00 ,0.01%,$50.00 ,0.25%
MIM/SPELL,0xeefc9109A82fEEEdc3B5889D62f408DfF564eB06,$17.00 ,$0.00 ,-,$17.00 ,1.00%
WAVAX/USDC.e,0x8e704666Fb4d759A4a4eEbF6a4CBaD8d89A2586d,$14.00 ,$0.00 ,-,$14.00 ,1.00%
xJOE/MIM,0xc1356023888a86cC1355C2b151aF71CE5deCD253,$5.00 ,$1.00 ,0.07%,$3.00 ,0.25%
DAI/WAVAX,0x685B570CFA3bF4889ce077f70b8a33a9b1C2E2c8,$5.00 ,$0.00 ,-,$5.00 ,1.00%
WAVAX/WETH,0x45ecaBC5e035095B7A4BBD8A86953ff6b83ff70A,$3.00 ,$0.00 ,-,$3.00 ,1.00%
SPELL/WAVAX,0x6a1c850C407892fBC9822d70d73a14E80419a5B3,$2.00 ,$0.00 ,-,$2.00 ,1.00%
WAVAX/WAVAX,0x97b785141274b71FDa92e702688981e449349114,$0.00 ,$0.00 ,-,$0.00 ,1.00%
SUSHI/MIM,0xc777A2810E5d7d53aF6587Fe7dAeB14B18b3e0FC,$0.00 ,$0.00 ,-,$0.00 ,1.00%
WAVAX/DAI,0xF33E495B97f2974a28EF4327De5f45FDc5A25A19,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDC.e/DAI,0xB6F0bd4292Da8e9821EA381948De370B7F9742E2,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDT.e/WETH,0x340C2cA1E7f32B08974542aF39630208464e8669,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDT.e/WBTC,0xE96B77D468E506B39DBae36B19af699688715Ce3,$0.00 ,$0.00 ,-,$0.00 ,1.00%
WETH/WAVAX,0x03bEC481665bF43033eDE87aC0639fdcd6189E4c,$0.00 ,$0.00 ,-,$0.00 ,1.00%
WAVAX/SUSHI,0xD436e9D472B588baAb31191b28435938AEA34240,$0.00 ,$0.00 ,-,$0.00 ,1.00%
WAVAX/MIM,0xeEe3e61EFCd18C364729E067334d595dF58176ad,$0.00 ,$0.00 ,-,$0.00 ,1.00%
WAVAX/SPELL,0xF900E2a5696C8331f009EBf267F8C0550b10504c,$0.00 ,$0.00 ,-,$0.00 ,1.00%
MIM/SUSHI,0xe0572Dd4c6ce9adBf49F126CDC47f40c28b485e4,$0.00 ,$0.00 ,-,$0.00 ,1.00%
MIM/xJOE,0x17E0A9f251AAc01af4f99144CC39892B1DBd2BF8,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDT.e/DAI,0x2AE95EE74A2F3d873318473dB23FD96BC60655F2,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDC.e/WETH,0x48aC6A090176A7538349b714b8101E32B9dd4E47,$0.00 ,$0.00 ,-,$0.00 ,1.00%
xJOE/SUSHI,0x65d865b5280163eBF0E4928796F47EaeE89A96d9,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDC.e/USDT.e,0x84336C6E521368691a244c88fd4743eFab6Fd582,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDT.e/WAVAX,0x94415A25De78AFf66A8A412d9eE0802c87a380B7,$0.00 ,$0.00 ,-,$0.00 ,1.00%
USDT.e/MIM,0xb884d145FB02D3eF666C3b22d46b08Db3500CF98,$0.00 ,$0.00 ,-,$0.00 ,1.00%
DAI/AAVE,0xBA1d5eB364907DE7F96282A61642B53738174D38,$0.00 ,$0.00 ,-,$0.00 ,1.00%
WBTC/WAVAX,0xd6ddc1c6Ef3af255CfE298d71E5bB5Fcb0267411,$0.00 ,$0.00 ,-,$0.00 ,1.00%
DAI/MIM,0xf2480801293f42810E0ffa59a3ad3A8352C01C61,$0.00 ,$0.00 ,-,$0.00 ,1.00%
AAVE/WAVAX,0x15166030894dc4A6eff405560a5D8c998FC521bc,$0.00 ,$0.00 ,-,$0.00 ,1.00%
LINK/WAVAX,0x3878d0CBf27Cc1187B0Cf920A17cF252f08c981c,$0.00 ,$0.00 ,-,$0.00 ,1.00%
LINK/WETH,0x74590122C057e55c3891D21484b1Fc624b0965aF,$0.00 ,$0.00 ,-,$0.00 ,1.00%
LINK/USDC.e,0x795167fB9872FdA4d552e3Ef8945C8ecaA0144c2,$0.00 ,$0.00 ,-,$0.00 ,1.00%
AAVE/WETH,0x9dD167c381b890d1E0Cc5A2c0b5FAA57136b44E5,$0.00 ,$0.00 ,-,$0.00 ,1.00%
JOE/WAVAX,0xc7F767328F05F95a6dBcFF939509D68121Cf203e,$0.00 ,$0.00 ,-,$0.00 ,1.00%
